pzem.voltage,ina3221.battery.voltage,ina3221.battery.current_ma,system.rssi,system.free_heap,system.cpu_temp,si7021.temperature
3.5452,7.2158,191.6271,-77.8773,194057.0299,43.6217,31.6835
218.7,8.28,1.2,-73.0,193676.0,41.6,30.82116
3.3084,7.3345,194.8113,-78.5945,194055.8803,43.5257,31.6267
2.833,7.1467,188.9248,-77.8226,194056.2444,43.4935,31.6736
214.5,8.28,1.2,-77.0,193676.0,41.6,30.86406
228.8,8.288,1.2,-72.0,193676.0,43.6,32.3763
225.6,8.288,1.2,-81.0,193672.0,41.6,31.22871
2.4251,7.6369,190.0837,-78.373,194056.4603,43.5002,31.86
4.0272,7.8783,189.6704,-77.5111,194056.7763,43.7184,31.6285
223.6,8.288,1.2,-76.0,193672.0,41.6,30.77826
226.7,8.288,1.2,-75.0,193676.0,42.6,31.64699
218.6,8.288,1.2,-73.0,193676.0,41.6,30.90696
227.5,8.288,1.2,-82.0,193672.0,42.6,31.37886
2.6361,7.4108,190.3178,-77.7567,194055.495,43.4868,31.6122
0.7994,7.1452,187.7662,-76.992,194055.9685,43.62,31.7336
1.658,7.6141,187.7029,-77.7354,194053.1818,43.741,31.8032
4.3206,7.8102,191.4762,-78.5747,194057.2429,43.642,31.7985
3.276,7.0551,190.7895,-78.4453,194056.9006,43.7063,31.8361
1.0323,7.5409,188.2976,-78.1564,194055.7522,43.6066,31.7901
226.4,8.288,1.2,-77.0,193628.0,45.6,30.51013
223.8,8.288,1.2,-65.0,193672.0,43.6,32.5908
216.0,8.288,1.2,-75.0,193676.0,44.6,30.69246
4.5001,7.666,192.152,-77.9665,194055.6764,43.5325,31.6524
226.3,8.288,1.2,-74.0,193676.0,42.6,31.68989
227.2,8.288,1.2,-73.0,193672.0,43.6,32.11889
227.5,8.288,1.2,-71.0,193672.0,43.6,32.16179
224.6,8.288,1.2,-77.0,193672.0,41.6,30.79971
1.6487,7.3479,186.1436,-78.1468,194055.1523,43.5941,31.7918
2.0099,7.0732,188.5692,-78.7129,194054.1128,43.5218,31.7744
224.3,8.288,1.2,-89.0,193672.0,44.6,30.57448
223.2,8.288,1.2,-66.0,193672.0,43.6,32.17252
0.3291,7.0269,193.3024,-76.6548,194057.3685,43.4538,31.6772
220.5,8.288,1.2,-74.0,193672.0,41.6,31.12146
230.4,8.288,1.2,-74.0,193676.0,42.6,31.95802
227.3,8.288,1.2,-72.0,193672.0,43.6,32.06527
215.9,8.288,1.2,-76.0,193624.0,46.6,30.68173
1.9021,7.0982,188.0206,-78.8475,194056.5557,43.7538,31.6497
227.3,8.288,1.2,-80.0,193672.0,42.6,31.33596
0.1791,7.32,188.2354,-77.8618,194056.8331,43.7859,31.8815
222.9,8.288,1.2,-78.0,193672.0,42.6,31.01421
222.0,8.28,1.2,-78.0,193672.0,42.6,32.2047
0.091,7.5796,188.1345,-77.4148,194056.8718,43.6438,31.8027
1.0138,7.3596,188.7051,-78.006,194056.1708,43.6959,31.7047
224.0,8.288,1.2,-78.0,193672.0,41.6,30.82116
226.0,8.288,1.2,-83.0,193672.0,42.6,31.28234
2.8264,7.1943,188.411,-78.0308,194058.0833,43.4606,31.6803
225.5,8.288,1.2,-81.0,193812.0,44.6,30.5423
4.5271,7.0342,189.7221,-78.4488,194057.4895,43.586,31.8008
1.6285,7.4404,190.0585,-77.4885,194055.472,43.3248,31.6526
2.3331,7.4832,190.7919,-78.4206,194055.232,43.6928,31.797
4.6817,7.8991,190.6327,-77.5179,194053.5673,43.5093,31.7137
3.7191,7.8785,186.0159,-77.988,194054.3814,43.6904,31.6612
2.1102,7.3493,185.6176,-77.8776,194055.9538,43.769,31.8079
0.5633,7.7453,189.3936,-77.3949,194055.6778,43.7301,31.6392
4.3836,7.8419,192.4674,-77.8055,194054.7523,43.6115,31.729
223.1,8.136,-106.4,-73.0,193676.0,43.6,32.94473
221.7,8.28,1.2,-72.0,193676.0,42.6,30.91768
0.3383,7.5296,190.9524,-78.5581,194055.5367,43.781,31.9229
220.6,8.152,-233.6,-74.0,194056.0,43.6,32.6337
0.01,7.126,189.3567,-77.771,194056.0073,43.5953,31.7436
4.5857,7.2036,190.5091,-78.264,194056.8052,43.6545,31.5194
226.8,8.288,1.2,-71.0,193672.0,42.6,32.16179
214.0,8.28,1.2,-78.0,193676.0,41.6,30.63883
219.8,8.288,1.2,-77.0,193676.0,44.6,30.66028
4.6149,7.4051,192.65,-78.3259,194056.0486,43.7203,31.7287
3.8724,7.078,188.9797,-77.9694,194056.6169,43.5485,31.7346
225.9,8.288,1.2,-76.0,193676.0,42.6,31.48611
3.9064,7.7154,190.6831,-78.3641,194056.6682,43.6197,31.5645
220.9,8.288,1.2,-73.0,193672.0,42.6,31.14291
2.4204,7.1414,189.5504,-77.952,194056.2168,43.6641,31.633
2.7746,7.1835,191.1318,-78.1796,194055.1411,43.6335,31.8168
226.3,8.288,1.2,-78.0,193672.0,43.6,31.99019
223.8,8.288,1.2,-66.0,193672.0,43.6,32.61225
225.3,8.28,1.2,-74.0,193672.0,43.6,32.26905
0.3841,7.714,190.8497,-78.1645,194056.5904,43.6464,31.8577
0.4857,7.4715,192.4432,-78.1352,194055.376,43.7089,31.4033
0.8855,7.547,191.3223,-78.4384,194057.6686,43.4912,31.8778
4.1857,7.8277,190.9609,-78.4089,194055.52,43.5535,31.5548
3.1605,7.6643,190.2371,-78.2744,194055.8639,43.6186,31.6618
0.9397,7.5558,188.613,-78.8841,194055.1323,43.4797,31.7386
226.1,8.288,1.2,-76.0,193672.0,41.6,30.78898
0.8053,7.9642,186.216,-78.8554,194054.4846,43.5905,31.688
4.9153,7.1568,188.6804,-78.1083,194057.005,43.6575,31.6446
2.9232,7.0887,188.5486,-77.8901,194056.8173,43.6625,31.7326
1.6212,7.4842,193.3388,-78.4229,194056.0734,43.7491,31.6744
219.4,8.288,1.2,-79.0,193676.0,42.6,31.65771
3.5673,7.0627,188.5817,-77.9177,194053.3693,43.4777,31.6268
1.0793,7.7902,190.1992,-77.5114,194055.0305,43.6283,31.8146
226.4,8.288,1.2,-83.0,193676.0,42.6,31.51829
215.2,8.136,-231.2,-79.0,194056.0,43.6,32.5479
223.2,8.288,1.2,-64.0,193672.0,43.6,32.62297
0.0691,7.7145,186.8238,-78.2803,194055.7484,43.6664,31.6336
222.2,8.288,1.2,-72.0,193676.0,41.6,30.83188
3.453,7.3834,188.8121,-77.7732,194055.2045,43.5785,31.6736
228.9,8.152,-98.8,-68.0,193676.0,47.6,32.934
223.9,8.296,1.2,-68.0,193676.0,43.6,33.08415
225.4,8.136,-114.0,-77.0,193676.0,43.6,32.94473
225.6,8.288,1.2,-79.0,193676.0,41.6,31.13218
220.0,8.288,1.2,-77.0,193624.0,45.6,30.68173
226.3,8.288,1.2,-83.0,193672.0,42.6,31.26089
229.9,8.12,-116.4,-66.0,193676.0,45.6,33.07343
219.5,8.288,1.2,-81.0,193676.0,42.6,31.64699
3.4225,7.1659,189.7729,-77.7034,194055.926,43.4094,31.5949
2.1924,7.361,190.5653,-78.6513,194055.9136,43.521,31.6104
219.1,8.28,1.2,-81.0,193676.0,41.6,30.76753
4.5131,7.9514,193.7827,-77.9878,194055.612,43.6085,31.8156
3.0683,7.5835,189.6165,-78.643,194056.6037,43.6923,31.6581
4.1137,7.5863,189.3838,-78.3023,194056.5225,43.6752,31.521
1.8373,7.6501,189.9326,-78.1453,194055.463,43.4357,31.6048
223.9,8.288,1.2,-81.0,193672.0,42.6,31.16436
1.9911,7.204,191.9768,-76.6406,194056.5342,43.5819,31.4396
225.3,8.288,1.2,-74.0,193672.0,43.6,32.31195
228.5,8.288,1.2,-72.0,193676.0,43.6,32.3763
228.3,8.288,1.2,-69.0,193676.0,43.6,32.14034
2.6386,7.4771,191.2029,-77.7587,194056.8832,43.4002,31.5457
3.8236,7.377,190.5912,-77.5143,194055.6763,43.7072,31.6081
3.8098,7.4952,187.9007,-77.4492,194055.8275,43.6995,31.7844
2.5675,7.8317,190.8201,-78.8236,194055.2611,43.6264,31.6036
3.7946,7.202,191.3138,-77.2466,194054.6046,43.5172,31.645
0.0705,7.406,188.303,-78.1143,194055.0074,43.5232,31.5246
3.4971,7.6628,194.0736,-77.9859,194055.3811,43.6347,31.8197
4.1338,7.0593,186.934,-77.546,194055.9709,43.4871,31.4847
220.3,8.296,1.2,-86.0,193672.0,42.6,30.87478
221.8,8.288,1.2,-67.0,193672.0,43.6,32.40847
223.5,8.296,1.2,-62.0,193672.0,43.6,32.61225
225.3,8.288,1.2,-77.0,193676.0,41.6,30.90696
223.9,8.28,1.2,-74.0,193672.0,41.6,30.84261
210.9,8.288,1.2,-79.0,193676.0,41.6,30.64956
3.8615,7.8423,188.5398,-79.1657,194053.7357,43.5884,31.8686
223.6,8.288,1.2,-76.0,193672.0,41.6,30.82116
222.5,8.288,1.2,-74.0,193676.0,41.6,30.93913
2.1222,7.4787,189.6032,-78.2536,194056.5386,43.7305,31.734
1.4521,7.9052,190.0245,-78.2482,194056.3703,43.5181,31.7735
3.0239,7.4664,190.8716,-77.6977,194053.9532,43.6207,31.8126
227.2,8.288,1.2,-75.0,193672.0,43.6,32.3334
2.58,7.5863,190.6178,-77.8543,194054.3095,43.6123,31.777
0.1932,7.5426,190.4811,-78.0271,194055.3104,43.7172,31.7411
226.3,8.288,1.2,-82.0,193672.0,42.6,31.55046
0.0027,7.753,191.0486,-78.3624,194057.2471,43.7579,31.7039
220.5,8.288,1.2,-80.0,193676.0,44.6,30.58521
3.7349,7.8837,191.6518,-78.1578,194055.1495,43.4737,31.5669
221.6,8.288,1.2,-82.0,193676.0,42.6,31.56119
223.4,8.296,1.2,-82.0,192100.0,41.6,30.78898
218.4,8.12,-131.2,-66.0,193692.0,43.6,32.85892
223.3,8.288,1.2,-67.0,193676.0,43.6,33.09488
227.0,8.288,1.2,-76.0,193676.0,42.6,31.59336
3.0761,7.8169,187.0395,-78.4002,194055.0236,43.6457,31.6972
220.0,8.12,-153.2,-64.0,194064.0,43.6,32.7624
218.5,8.12,-133.6,-69.0,193684.0,43.6,32.88037
213.7,8.288,1.2,-84.0,193676.0,41.6,30.76753
4.7092,7.6929,192.3676,-79.1131,194054.8887,43.7674,31.6816
3.0026,7.8023,189.483,-77.6858,194055.7444,43.6987,31.7357
213.6,8.288,1.2,-78.0,193676.0,44.6,30.67101
3.6835,7.6306,192.3153,-77.2535,194055.119,43.5694,31.7908
1.3025,7.3873,188.3286,-78.7474,194055.898,43.5998,31.563
3.7526,7.6177,189.3221,-77.4465,194055.5749,43.5643,31.6123
1.2748,7.0171,188.7642,-78.1083,194056.5143,43.4893,31.5818
224.9,8.288,1.2,-75.0,193672.0,43.6,32.21542
3.3756,7.1674,192.2416,-78.4129,194056.0995,43.6301,31.7882
1.8547,7.6301,186.532,-78.5145,194055.169,43.495,31.6603
222.2,8.288,1.2,-79.0,193676.0,41.6,31.02493
0.6619,7.0325,189.6158,-78.7277,194056.4439,43.6622,31.7323
4.4337,7.6298,189.3557,-78.8907,194055.2096,43.5501,31.6252
218.1,8.28,1.2,-76.0,193672.0,44.6,30.72463
229.4,8.288,1.2,-76.0,193676.0,42.6,32.05454
1.6478,7.2192,190.2158,-78.3595,194056.3732,43.6455,31.723
224.6,8.288,1.2,-68.0,193628.0,43.6,33.1056
0.8353,7.8974,189.5509,-77.9399,194055.0391,43.5295,31.7276
4.2749,7.0611,188.1793,-78.333,194056.5377,43.4689,31.6633
2.0853,7.379,191.2631,-78.3799,194055.6822,43.7086,31.546
229.0,8.288,1.2,-76.0,193676.0,42.6,32.02237
224.9,8.288,1.2,-75.0,193672.0,43.6,32.06527
213.5,8.288,1.2,-82.0,193676.0,41.6,30.72463
3.9791,7.2761,192.1066,-78.2473,194055.934,43.5465,31.6409
3.7105,7.5188,190.5831,-77.1226,194054.5136,43.7201,31.7438
2.9716,7.6688,188.9952,-78.0025,194055.7778,43.5037,31.8493
1.544,7.6521,189.0278,-78.4166,194055.5751,43.6734,31.7133
214.3,8.288,1.2,-78.0,193676.0,43.6,30.55303
218.9,8.288,1.2,-79.0,193672.0,41.6,30.77826
3.2794,7.0608,191.879,-77.2927,194057.2606,43.7521,31.9748
4.1812,7.0165,188.4909,-78.2951,194056.327,43.6611,31.6693
227.6,8.288,1.2,-74.0,193672.0,43.6,32.25832
220.9,8.168,-229.2,-71.0,194056.0,43.6,32.79457
4.0364,7.2164,192.7106,-77.9662,194055.4073,43.587,31.8403
1.9161,7.179,190.3132,-78.1701,194056.3401,43.6268,31.8622
0.8466,7.117,188.0959,-77.9745,194056.4367,43.5082,31.7311
226.2,8.288,1.2,-83.0,193620.0,42.6,31.27161
224.8,8.288,1.2,-74.0,193672.0,43.6,32.39775
4.1248,7.3642,189.207,-78.0946,194055.9484,43.6704,31.8213
225.7,8.296,1.2,-76.0,192104.0,42.6,31.47539
219.3,8.16,-231.2,-73.0,194056.0,43.6,32.70877
0.279,7.94,189.0524,-77.7759,194056.2763,43.5843,31.6848
3.3331,7.7858,189.0172,-77.8201,194055.672,43.5747,31.6356
229.4,8.16,-96.8,-67.0,193676.0,44.6,33.07343
4.8723,7.1974,189.2434,-78.2902,194054.7358,43.7041,31.7577
2.3339,7.5332,188.1811,-78.2098,194056.0326,43.5788,31.7717
222.4,8.288,1.2,-81.0,193672.0,44.6,30.67101
223.6,8.288,1.2,-65.0,193672.0,43.6,32.6766
3.559,7.6773,190.1325,-77.8678,194056.7681,43.6269,31.7438
1.7374,7.8654,189.3305,-77.4318,194055.3888,43.7502,31.5322
3.7183,7.8602,191.8113,-77.3362,194057.0621,43.7005,31.5937
226.8,8.288,1.2,-77.0,193672.0,43.6,32.00092
227.1,8.288,1.2,-74.0,193672.0,43.6,32.32267
2.551,7.4279,185.9075,-78.5494,194056.2357,43.6453,31.7777
227.6,8.288,1.2,-76.0,193676.0,42.6,30.84261
1.4082,7.5948,192.6593,-78.526,194054.91,43.4648,31.5603
223.1,8.288,1.2,-87.0,193676.0,42.6,31.33596
222.1,8.28,1.2,-81.0,193676.0,42.6,31.64699
4.9399,7.503,188.4152,-77.625,194054.8441,43.6213,31.7539
226.7,8.288,1.2,-71.0,193672.0,43.6,32.16179
226.3,8.288,1.2,-80.0,193628.0,42.6,31.79714
227.6,8.288,1.2,-77.0,193676.0,42.6,31.67916
0.949,7.0334,193.2632,-78.3805,194057.3177,43.454,31.7314
2.8806,7.7657,190.4329,-78.7754,194055.417,43.613,31.5424
2.9926,7.2628,193.2704,-78.6311,194055.5131,43.7297,31.7715
0.4555,7.0249,190.399,-78.4024,194055.5665,43.5952,31.4933
0.9733,7.7888,190.8734,-78.4678,194056.6352,43.367,31.7398
0.9297,7.223,187.4634,-78.8468,194053.604,43.607,31.791
2.2186,7.7895,192.4035,-78.7317,194054.9804,43.3345,31.7485
223.9,8.288,1.2,-80.0,193672.0,42.6,31.04638
221.1,8.288,1.2,-86.0,193672.0,42.6,30.66028
222.7,8.12,-143.6,-62.0,192120.0,43.6,32.78385
2.4012,7.9774,188.1721,-78.3939,194056.0706,43.714,31.828
224.9,8.288,1.2,-64.0,193672.0,42.6,32.08672
4.3601,7.3349,188.901,-78.4974,194055.8572,43.5958,31.687
223.8,8.288,1.2,-76.0,193672.0,41.6,30.83188
214.4,8.288,1.2,-82.0,193676.0,41.6,30.64956
3.1486,7.8705,189.6924,-77.7772,194053.9657,43.7069,31.6854
2.7774,7.8872,192.5581,-78.6068,194057.6221,43.7698,31.6903
4.168,7.584,190.8678,-77.9752,194056.5357,43.6154,31.7866
228.1,8.28,1.2,-79.0,193672.0,42.6,32.05454
4.0211,7.1516,186.5987,-77.9104,194054.785,43.3879,31.6344
2.2185,7.0102,188.936,-79.2375,194056.3305,43.5994,31.7143
223.2,8.28,1.2,-84.0,193672.0,42.6,31.06783
2.0042,7.7305,190.5657,-78.1973,194056.7173,43.4038,31.8464
219.6,8.104,-233.6,-77.0,194056.0,43.6,31.85077
3.5814,7.3447,189.5442,-78.3978,194056.0769,43.5062,31.495
223.0,8.288,1.2,-65.0,193620.0,43.6,32.55862
4.2116,7.5616,192.3369,-78.0681,194054.7112,43.7239,31.6995
226.3,8.288,1.2,-76.0,193672.0,42.6,31.35741
4.7457,7.7777,190.298,-78.4391,194054.2983,43.451,31.6481
224.9,8.288,1.2,-79.0,193672.0,42.6,31.04638
4.1151,7.9245,192.2854,-77.6638,194055.2709,43.4816,31.6929
0.0693,7.5992,189.0189,-78.8722,194056.5197,43.5536,31.7688
2.812,7.5854,188.6082,-77.7209,194057.3412,43.4831,31.7991
2.0151,7.6946,191.1649,-77.7122,194055.2558,43.6553,31.7575
2.3998,7.0969,191.5088,-79.1938,194056.9853,43.7177,31.8972
0.2252,7.5389,190.2036,-77.72,194055.7929,43.5009,31.6219
3.9512,7.1043,189.4895,-77.9245,194055.5692,43.7082,31.5543
0.0669,7.1739,187.4408,-78.5287,194057.1788,43.6076,31.5329
217.4,8.28,1.2,-78.0,193676.0,41.6,30.75681
224.4,8.28,1.2,-80.0,193672.0,42.6,32.21542
220.2,8.12,-157.2,-67.0,194056.0,43.6,32.77312
229.0,8.288,1.2,-79.0,193672.0,42.6,32.09744
216.3,8.288,1.2,-79.0,193676.0,41.6,30.70318
219.3,8.288,1.2,-81.0,193676.0,44.6,30.68173
228.9,8.288,1.2,-75.0,193672.0,43.6,32.10817
1.2879,7.2179,188.2819,-78.6243,194054.8893,43.6063,31.6286
3.0237,7.1287,190.8076,-78.0927,194055.2797,43.4617,31.7743
221.4,8.288,1.2,-72.0,193676.0,41.6,30.92841
0.5823,7.7207,193.7803,-77.6478,194055.6949,43.6073,31.9195
0.8106,7.6003,189.9539,-78.3741,194055.4736,43.4909,31.6986
225.2,8.288,1.2,-74.0,193672.0,43.6,32.3763
222.1,8.144,-232.0,-70.0,194064.0,43.6,32.6337
219.2,8.288,1.2,-78.0,193672.0,42.6,31.04638
222.4,8.288,1.2,-67.0,193672.0,43.6,32.82675
2.5148,7.388,188.8907,-78.9724,194054.9821,43.4049,31.8359
222.5,8.288,1.2,-66.0,193672.0,43.6,32.8053
2.2442,7.1116,193.1397,-77.4708,194056.8448,43.7094,31.5383
220.8,8.288,1.2,-74.0,193676.0,42.6,30.98203
4.8473,7.841,186.0486,-78.5491,194056.6645,43.5789,31.7053
4.1274,7.1745,189.5363,-78.498,194054.6086,43.5456,31.6215
0.7682,7.9818,189.2713,-78.2497,194055.723,43.6819,31.7028
226.0,8.288,1.2,-79.0,193672.0,43.6,32.17252
219.6,8.288,1.2,-73.0,193676.0,41.6,30.84261
1.1413,7.1473,191.3692,-78.1865,194057.0221,43.7529,31.6558
2.8368,7.9523,189.2064,-78.4651,194057.0923,43.3475,31.9051
1.5673,7.6064,192.7228,-78.3769,194055.0478,43.5823,31.6395
224.6,8.288,1.2,-79.0,193676.0,41.6,30.92841
2.9041,7.2913,191.0858,-77.7436,194056.2936,43.8317,31.5069
3.0983,7.4696,193.2872,-77.8391,194055.6709,43.5791,31.8573
222.2,8.288,1.2,-66.0,193672.0,43.6,32.45137
223.3,8.288,1.2,-83.0,193672.0,42.6,31.47539
0.2016,7.6375,187.1278,-78.8024,194055.138,43.5852,31.4709
217.4,8.288,1.2,-78.0,193676.0,41.6,30.83188
229.9,8.288,1.2,-71.0,193672.0,43.6,32.36557
226.1,8.288,1.2,-78.0,193672.0,43.6,32.2047
224.8,8.288,1.2,-79.0,193676.0,41.6,30.93913
1.4458,7.4404,188.6949,-79.031,194056.7455,43.651,31.8245
222.3,8.288,1.2,-79.0,193672.0,42.6,32.19397
0.1253,7.4605,192.1444,-78.6684,194054.9703,43.6608,31.8092
226.9,8.296,1.2,-84.0,193764.0,46.6,30.56376
227.1,8.288,1.2,-71.0,193672.0,43.6,32.12962
228.1,8.288,1.2,-78.0,193672.0,42.6,32.02237
216.3,8.288,1.2,-81.0,193672.0,43.6,30.70318
226.6,8.288,1.2,-71.0,193672.0,43.6,32.11889
225.5,8.28,1.2,-83.0,193676.0,42.6,31.33596
226.5,8.288,1.2,-74.0,193672.0,42.6,32.22615
215.1,8.12,-229.6,-79.0,194064.0,43.6,32.22615
0.1983,7.8911,186.8064,-77.2362,194056.1608,43.4803,31.7749
4.06,7.5343,190.6526,-77.8365,194054.205,43.5595,31.7369
224.6,8.288,1.2,-78.0,193672.0,42.6,31.43249
229.7,8.28,1.2,-74.0,193624.0,42.6,31.99019
225.1,8.296,1.2,-91.0,193668.0,44.6,30.60666
229.9,8.112,-122.0,-66.0,193676.0,46.6,33.08415
2.755,7.8429,188.2168,-77.387,194057.4772,43.5139,31.8264
4.4127,7.2292,189.6684,-78.6355,194056.331,43.6547,31.7419
229.5,8.288,1.2,-64.0,193676.0,43.6,33.05198
226.0,8.288,1.2,-80.0,193676.0,41.6,31.00348
225.0,8.288,1.2,-66.0,193672.0,43.6,32.22615
229.2,8.168,-96.8,-67.0,193676.0,43.6,33.05198
223.6,8.288,1.2,-80.0,193672.0,42.6,31.14291
224.9,8.288,1.2,-74.0,193672.0,43.6,32.3334
1.4303,7.5451,187.8338,-77.9805,194055.4811,43.7309,31.7338
3.7899,7.8095,190.0088,-77.0337,194055.3488,43.4434,31.6171
3.2725,7.662,194.9536,-78.0969,194055.5597,43.5989,31.8054
4.1716,7.0574,193.101,-78.084,194055.7673,43.6393,31.8227
225.2,8.288,1.2,-66.0,191192.0,43.6,32.15107
3.8924,7.7518,189.2232,-78.0489,194056.3169,43.7036,31.7978
2.9626,7.0217,191.4615,-78.2479,194056.0356,43.4222,31.7593
224.9,8.288,1.2,-74.0,193672.0,43.6,32.03309
225.4,8.288,1.2,-74.0,193672.0,42.6,31.97947
222.5,8.288,1.2,-82.0,193676.0,42.6,31.38959
1.6547,7.7323,188.7439,-78.4076,194054.8709,43.6782,31.7948
4.7629,7.1751,191.4466,-77.464,194054.4897,43.7897,31.8345
3.1004,7.0925,191.3052,-78.2187,194054.7516,43.5881,31.8757
3.1458,7.5708,192.356,-78.8677,194054.266,43.5205,31.7783
2.4084,7.0398,191.3912,-77.3729,194056.1732,43.6075,31.8867
225.7,8.288,1.2,-85.0,193672.0,41.6,30.81043
