pzem.voltage,ina3221.battery.voltage,ina3221.battery.current_ma,system.rssi,system.free_heap,system.cpu_temp,si7021.temperature
218.7,8.104,-236.4,-84,194056,43.6,31.72206
218.6,8.104,-235.6,-83,194056,43.6,31.73279
219.0,8.104,-238.4,-79,194056,43.6,31.75424
218.2,8.104,-239.2,-76,194056,43.6,31.74352
216.4,8.104,-238.8,-78,194056,43.6,31.75424
215.3,8.104,-238.0,-85,194056,43.6,31.75424
215.3,8.104,-238.0,-76,194056,43.6,31.77569
215.4,8.104,-236.8,-78,194056,43.6,31.77569
217.0,8.104,-236.0,-88,194008,45.6,31.79714
216.9,8.104,-234.8,-85,192484,44.6,31.79714
217.0,8.104,-235.6,-81,194056,44.6,31.80787
216.9,8.104,-234.4,-80,194056,43.6,31.81859
216.9,8.104,-234.4,-85,194056,43.6,31.82932
219.6,8.104,-233.6,-76,194056,43.6,31.81859
219.9,8.104,-234.0,-84,194056,43.6,31.82932
219.7,8.104,-234.0,-83,194056,43.6,31.85077
220.0,8.104,-235.2,-85,194056,43.6,31.86149
219.6,8.104,-233.6,-77,194056,43.6,31.85077
218.1,8.104,-234.0,-81,194056,43.6,31.88294
218.1,8.104,-234.8,-81,194056,43.6,31.89367
218.1,8.104,-232.0,-83,194056,43.6,31.90439
218.1,8.104,-232.8,-83,194008,45.6,31.90439
218.3,8.104,-233.2,-79,194060,45.6,31.90439
218.5,8.104,-231.6,-79,194064,43.6,31.91512
218.4,8.104,-230.4,-80,194056,43.6,31.92584
218.0,8.104,-231.6,-79,191580,44.6,31.91512
218.7,8.104,-231.6,-79,194064,43.6,31.92584
219.6,8.104,-232.0,-82,194064,43.6,31.92584
219.1,8.104,-231.6,-81,194064,43.6,31.94729
216.6,8.104,-230.8,-81,194056,43.6,31.94729
219.6,8.104,-232.4,-80,194056,43.6,31.93657
219.5,8.104,-230.8,-82,194056,43.6,31.96874
219.3,8.104,-230.0,-84,194056,43.6,31.96874
217.4,8.104,-231.2,-83,194056,43.6,31.97947
217.3,8.104,-229.2,-82,194056,43.6,31.97947
