ina3221.battery.voltage,ina3221.battery.current_ma,ina3221.esp.voltage,ina3221.esp.current_ma,ina3221.main.voltage,ina3221.main.current_ma,si7021.temperature,si7021.humidity,system.rssi,system.free_heap,system.reconnects,system.cpu_temp
8.104,-236.4,5.552,32.0,12.48,186.8,31.72206,66.52502,-84,194056,1,43.6
8.104,-235.6,5.552,30.0,12.48,186.8,31.73279,66.46399,-83,194056,1,43.6
8.104,-238.4,5.552,32.0,12.48,189.6,31.75424,66.44873,-79,194056,1,43.6
8.104,-239.2,5.552,30.4,12.48,188.8,31.74352,66.43347,-76,194056,1,43.6
8.104,-238.8,5.552,31.2,12.48,189.2,31.75424,66.43347,-78,194056,1,43.6
8.104,-238.0,5.552,29.6,12.48,188.4,31.75424,66.55554,-85,194056,1,43.6
8.104,-238.0,5.552,30.8,12.48,188.4,31.77569,66.46399,-76,194056,1,43.6
8.104,-236.8,5.552,33.2,12.48,188.8,31.77569,66.40295,-78,194056,1,43.6
8.104,-236.0,5.496,72.4,12.464,205.2,31.79714,66.29614,-88,194008,1,45.6
8.104,-234.8,5.544,35.2,12.48,188.4,31.79714,66.31903,-85,192484,1,44.6
8.104,-235.6,5.544,35.2,12.48,188.4,31.80787,66.258,-81,194056,1,44.6
8.104,-234.4,5.552,31.2,12.48,186.4,31.81859,66.34192,-80,194056,1,43.6
8.104,-234.4,5.552,30.8,12.48,186.0,31.82932,66.258,-85,194056,1,43.6
8.104,-233.6,5.552,30.8,12.48,185.6,31.81859,66.14355,-76,194056,1,43.6
8.104,-234.0,5.552,29.2,12.48,185.2,31.82932,66.18933,-84,194056,1,43.6
8.104,-234.0,5.552,30.4,12.48,185.6,31.85077,66.15118,-83,194056,1,43.6
8.104,-235.2,5.544,31.2,12.48,187.6,31.86149,66.07489,-85,194056,1,43.6
8.104,-233.6,5.552,30.0,12.48,184.8,31.85077,66.10541,-77,194056,1,43.6
8.104,-234.0,5.552,29.6,12.48,186.0,31.88294,66.40295,-81,194056,1,43.6
8.104,-234.8,5.552,30.0,12.48,186.0,31.89367,66.47162,-81,194056,1,43.6
8.104,-232.0,5.552,30.0,12.488,184.8,31.90439,66.4411,-83,194056,1,43.6
8.104,-232.8,5.552,31.2,12.48,185.6,31.90439,66.21985,-83,194008,1,45.6
8.104,-233.2,5.544,33.2,12.48,186.0,31.90439,66.00623,-79,194060,1,45.6
8.104,-231.6,5.552,32.4,12.488,184.0,31.91512,65.94519,-79,194064,1,43.6
8.104,-230.4,5.552,30.0,12.488,182.8,31.92584,65.93756,-80,194056,1,43.6
8.104,-231.6,5.528,46.4,12.48,192.4,31.91512,65.85364,-79,191580,1,44.6
8.104,-231.6,5.552,30.0,12.488,183.6,31.92584,65.8689,-79,194064,1,43.6
8.104,-232.0,5.552,31.2,12.488,184.4,31.92584,65.88416,-82,194064,1,43.6
8.104,-231.6,5.552,29.6,12.488,183.2,31.94729,65.93756,-81,194064,1,43.6
8.104,-230.8,5.552,30.8,12.488,183.6,31.94729,65.85364,-81,194056,1,43.6
8.104,-232.4,5.552,32.8,12.488,185.6,31.93657,65.7392,-80,194056,1,43.6
8.104,-230.8,5.552,30.0,12.488,182.8,31.96874,66.1817,-82,194056,1,43.6
8.104,-230.0,5.552,31.6,12.488,183.2,31.96874,65.89941,-84,194056,1,43.6
8.104,-231.2,5.552,30.0,12.488,183.2,31.97947,65.71631,-83,194056,1,43.6
8.104,-229.2,5.552,30.8,12.488,182.4,31.97947,65.54846,-82,194056,1,43.6
8.104,-230.8,5.552,29.2,12.488,182.8,31.97947,65.55609,-85,194056,1,43.6
8.104,-230.8,5.552,30.4,12.488,183.6,31.99019,65.54083,-81,194056,1,43.6
8.104,-231.2,5.544,32.8,12.488,184.4,31.97947,65.41876,-87,194056,1,43.6
8.104,-230.8,5.552,30.0,12.488,183.2,31.99019,65.38824,-82,194056,1,43.6
8.104,-230.8,5.552,31.6,12.488,183.2,31.97947,65.38062,-83,194056,1,43.6
8.104,-230.4,5.552,29.2,12.488,183.2,32.00092,65.38062,-80,194056,1,43.6
8.104,-230.0,5.552,31.6,12.488,182.8,31.97947,65.37299,-79,194056,1,43.6
8.104,-230.0,5.552,29.2,12.488,182.0,31.99019,65.31958,-83,194056,1,43.6
8.104,-230.4,5.552,30.8,12.488,182.8,31.99019,65.31958,-84,194056,1,43.6
8.112,-230.8,5.552,29.2,12.488,182.8,31.99019,65.36536,-84,194056,1,43.6
8.112,-231.2,5.552,30.0,12.488,183.2,31.99019,65.33484,-79,194056,1,43.6
