date,device,power_usage,temperature
2024-04-12,TP-Link Archer C6,0.0001,34.57
2024-10-28,Netgear R6120,0.0003,27.23
2025-02-01,Bosch WAK24168,0.0135,29.32
2024-06-25,Kirloskar Mega 54S,0.0241,28.09
2024-03-05,Dell Inspiron 3520,0.0034,24.12
2025-10-11,TP-Link Archer C6,0.0002,25.25
2025-11-22,Netgear R6120,0.0003,31.84
2025-10-15,LG GL-T302,0.003,33.3
2024-06-29,Orient Apex,0.0033,28.06
2025-08-19,Orient Apex,0.0014,33.13
2024-08-31,LG 43LM5650,0.0073,30.99
2024-07-10,Bajaj MX3,0.0634,28.9
2025-07-06,Samsung LF24T350,0.0018,27.59
2024-04-22,Samsung UA43T5400,0.0025,27.02
2024-12-18,Panasonic SR-WA18,0.033,26.49
2024-07-02,Panasonic SR-WA18,0.031,34.18
2024-02-04,Panasonic SR-WA18,0.0285,30.21
2024-08-08,Bosch WAK24168,0.0203,31.67
2025-06-19,Philips GC1905,0.0785,26.04
2025-10-03,Bosch WAK24168,0.0123,26.35
2024-12-15,Kirloskar Mega 54S,0.0132,31.24
2025-02-01,LG 24MP60G,0.0013,31.61
2024-10-28,Panasonic SR-WA18,0.0137,32.14
2024-04-13,Daikin FTKF 1.5T,0.0454,28.97
2025-06-16,CRI MHBS,0.0422,26.57
2025-11-24,Prestige PKOSS 1.5,0.058,30.77
2025-05-28,Dell P2422H,0.0013,32.28
2024-03-16,Whirlpool IF INV 278,0.0031,30.24
2024-12-23,Syska SSK-BLS-9W,0.0002,30.65
2024-05-20,Samsung RT28T,0.0022,28.11
2025-02-10,Bajaj Majesty RX14,0.053,29.0
2024-04-08,LG 24MP60G,0.0014,35.53
2024-05-25,Bajaj MX3,0.0253,29.82
2024-04-13,Usha Striker Galaxy,0.0043,28.6
2024-04-28,Sony Bravia X75,0.0044,28.84
2024-09-01,LG KS-Q18,0.03,29.67
2025-05-21,Philips HD9306,0.0399,28.52
2025-09-26,Panasonic SR-WA18,0.0245,31.89
2024-11-23,TP-Link Archer C6,0.0004,33.49
2024-03-12,Samsung WA65A4002,0.0068,29.07
2025-10-08,CRI MHBS,0.026,36.28
2025-05-29,Orient Winter HC,0.0351,35.31
2024-12-26,Whirlpool IF INV 278,0.0051,28.48
2025-09-04,TP-Link Archer C6,0.0003,34.08
2025-04-14,Xiaomi MDY-11,0.0001,29.13
2025-07-30,Havells Leganza,0.0041,27.47
2025-11-20,Prestige PKOSS 1.5,0.0695,27.68
2025-08-12,Orient Winter HC,0.0372,32.93
2024-02-04,Bajaj Majesty RX14,0.0677,35.63
2024-04-16,Lenovo ThinkCentre M70,0.0036,29.6
2024-10-06,Syska SSK-BLS-9W,0.0001,33.71
2024-06-29,Philips Ace Saver,0.0002,25.2
2024-12-31,LG 43LM5650,0.0041,27.75
2025-12-17,Dell OptiPlex 7090,0.0054,29.19
2025-03-18,Kirloskar Mega 54S,0.0346,23.88
2024-03-29,Panasonic SR-WA18,0.0297,32.39
2025-11-21,Panasonic SR-WA18,0.0263,27.18
2025-05-11,Dell OptiPlex 7090,0.0048,28.32
2025-12-22,LG 43LM5650,0.0021,30.64
2025-12-25,Prestige PKOSS 1.5,0.0393,26.32
2024-07-10,TP-Link Archer C6,0.0003,33.36
2024-05-06,Kirloskar Mega 54S,0.0333,28.04
2024-06-01,Samsung RT28T,0.0062,27.42
2025-05-20,Prestige PKOSS 1.5,0.0388,32.82
2025-02-18,LG FHM1207,0.0051,27.41
2025-05-06,Philips HD3119,0.0222,30.82
2024-04-24,LG FHM1207,0.014,31.71
2025-07-09,Bajaj MX3,0.0179,30.8
2025-02-04,LG GL-T302,0.0074,26.61
2024-10-07,HP Pavilion 14,0.0035,34.74
2024-02-12,Orient Aeroquiet,0.0021,36.23
2025-03-19,Bajaj Majesty RX14,0.0921,27.47
2025-06-01,Philips Ace Saver,0.0002,33.43
2024-09-28,LG GL-T302,0.0083,27.55
2025-09-12,Havells Leganza,0.0016,27.06
2024-12-20,Syska SSK-BLS-9W,0.0004,30.84
2024-05-07,LG FHM1207,0.0059,26.62
2025-11-20,Havells Stealth Air,0.0024,31.33
2024-11-06,Kirloskar Mega 54S,0.0111,33.28
2024-06-22,Netgear R6120,0.0003,31.88
2024-11-18,Philips GC1905,0.0636,29.84
2024-03-25,Samsung LF24T350,0.002,29.51
2024-06-05,Whirlpool IF INV 278,0.0041,28.36
2025-08-22,Samsung MS23F301,0.0206,26.28
2025-06-20,HP Pavilion 14,0.0018,35.26
2025-11-10,Samsung MS23F301,0.0181,29.61
2025-12-22,Bajaj MX3,0.0362,33.48
2024-04-23,Philips HD9306,0.0312,27.55
2024-09-17,Samsung LF24T350,0.0023,29.71
2024-11-07,Philips Ace Saver,0.0003,32.02
2025-08-06,Lenovo ThinkCentre M70,0.0074,27.06
2024-09-17,Philips GC1905,0.0485,31.53
2025-10-17,Samsung WA65A4002,0.0091,27.73
2024-08-18,Orient Aeroquiet,0.0022,29.09
2025-04-07,TP-Link Archer C6,0.0001,29.71
2026-01-06,Dell P2422H,0.002,28.8
2024-06-12,Philips Ace Saver,0.0003,31.86
2024-07-19,LG GL-T302,0.0103,31.9
2025-04-09,TP-Link Archer C6,0.0005,26.17
2024-10-23,Dell P2422H,0.0018,32.66
2024-08-28,Xiaomi MDY-11,0.0002,27.32
2025-08-08,Orient Aeroquiet,0.0007,31.76
2025-09-01,Lenovo ThinkCentre M70,0.0132,28.91
2025-12-13,Samsung MS23F301,0.0194,27.59
2025-08-28,Orient Aeroquiet,0.003,27.0
2024-04-07,Orient Winter HC,0.0343,34.86
2025-05-03,TP-Link Archer C6,0.0005,28.29
2024-08-15,Prestige PKOSS 1.5,0.0289,30.49
2024-05-21,Syska SSK-BLS-9W,0.0001,36.03
2024-09-07,Dell P2422H,0.0008,26.82
2024-12-29,Panasonic NN-ST34,0.0413,35.54
2024-11-12,Samsung MS23F301,0.0512,32.57
2025-08-21,TP-Link Archer C6,0.0004,27.55
2025-01-31,Orient Winter HC,0.0556,30.27
2024-10-22,LG FHM1207,0.0087,30.84
2024-01-08,Syska SSK-BLS-9W,0.0004,30.52
2025-02-23,Panasonic SR-WA18,0.0162,29.8
2024-08-12,LG KS-Q18,0.0466,32.96
2025-10-07,Orient Winter HC,0.0937,26.79
2025-07-06,Kirloskar Mega 54S,0.0219,29.31
2025-01-11,Syska SSK-BLS-9W,0.0002,31.34
2025-07-11,Syska SSK-BLS-9W,0.0002,29.85
2024-10-29,Usha Striker Galaxy,0.0008,28.04
2024-02-06,Orient Winter HC,0.0273,26.72
2024-10-03,Samsung EP-TA800,0.0004,32.63
2024-11-30,Dell OptiPlex 7090,0.0052,31.92
2025-08-23,Kirloskar Mega 54S,0.0452,32.04
2025-10-24,Usha Striker Galaxy,0.0012,27.93
2024-02-17,Bajaj MX3,0.0581,33.39
2024-03-03,Samsung WA65A4002,0.0068,26.93
2025-11-03,Xiaomi MDY-11,0.0001,27.3
2024-10-31,Philips HD3119,0.0181,29.88
2024-06-05,Dell Inspiron 3520,0.0024,32.33
2024-10-26,Bosch WAK24168,0.0127,28.89
2025-07-23,LG KS-Q18,0.0216,26.26
2025-12-22,LG 43LM5650,0.0043,28.52
2024-10-03,Samsung UA43T5400,0.0072,29.73
2025-01-27,Panasonic SR-WA18,0.0145,30.16
2024-06-18,LG FHM1207,0.0225,31.36
2025-04-01,LG 24MP60G,0.0022,26.84
2024-12-24,Havells Stealth Air,0.0032,36.01
2024-03-17,LG KS-Q18,0.0218,26.57
2024-09-16,HP EliteDesk 800,0.0078,34.31
2025-03-09,TP-Link Archer C6,0.0004,34.13
2024-01-19,LG 43LM5650,0.0031,34.66
2024-11-25,Orient Winter HC,0.0578,36.76
2024-02-01,LG 43LM5650,0.0054,24.53
2025-01-05,Philips HD3119,0.0126,29.81
2024-12-04,Whirlpool IF INV 278,0.0075,28.15
2024-11-05,Usha Striker Galaxy,0.0027,27.09
2025-07-08,Panasonic F-M12D3,0.0026,30.19
2024-12-30,Philips HD3119,0.0202,35.25
2024-11-16,Dell P2422H,0.0008,27.52
2025-03-28,Netgear R6120,0.0003,29.61
2025-01-26,Philips HD9306,0.0343,29.99
2024-02-18,Bosch WAK24168,0.0061,29.39
2025-09-21,Philips HD9306,0.0582,30.1
2024-09-02,Lenovo ThinkCentre M70,0.0113,26.37
2025-10-02,LG 24MP60G,0.0012,31.89
2024-06-21,CRI MHBS,0.0378,29.05
2025-04-16,Prestige PKOSS 1.5,0.0714,31.09
2025-09-28,Lenovo IdeaPad 3,0.0021,31.52
2024-02-27,LG GL-T302,0.0123,31.39
2025-06-19,Dell OptiPlex 7090,0.0028,32.98
2025-05-26,Philips Ace Saver,0.0004,30.59
2024-10-16,Daikin FTKF 1.5T,0.0164,29.08
2024-10-26,Lenovo ThinkCentre M70,0.0036,28.06
2024-01-28,CRI MHBS,0.0067,34.47
2025-04-28,Bajaj Majesty RX14,0.02,27.88
2024-11-05,Havells Stealth Air,0.0014,25.55
2024-03-30,Lenovo ThinkCentre M70,0.0031,29.05
2024-08-26,Orient Winter HC,0.0741,30.55
2025-12-11,Samsung WA65A4002,0.0213,36.18
2025-08-05,Netgear R6120,0.0005,25.16
2025-02-16,Orient Aeroquiet,0.0051,28.78
2025-03-01,Bajaj Majesty RX14,0.0251,34.68
2025-12-19,Bosch WAK24168,0.0035,28.64
2024-09-10,Panasonic SR-WA18,0.013,28.03
2025-07-06,Bajaj MX3,0.0205,33.93
2025-07-08,Dell OptiPlex 7090,0.0115,32.78
2024-11-05,Lenovo ThinkCentre M70,0.0053,29.37
2025-07-26,Lenovo ThinkCentre M70,0.0092,32.45
2025-10-20,Philips HD9306,0.0646,29.58
2024-09-19,LG 24MP60G,0.0017,31.76
2025-08-03,Samsung EP-TA800,0.0007,31.87
2024-03-01,Orient Winter HC,0.0712,31.77
2025-03-27,Bajaj MX3,0.0518,26.68
2024-04-01,CRI MHBS,0.0293,32.8
2025-03-18,Panasonic NN-ST34,0.0143,27.49
2025-07-25,Orient Apex,0.0018,31.78
2024-03-07,Dell OptiPlex 7090,0.004,32.05
2025-12-27,Bajaj Majesty RX14,0.0892,31.89
2025-10-30,Philips Ace Saver,0.0003,29.09
2025-06-05,LG 24MP60G,0.0015,29.56
2024-07-04,Philips HD9306,0.0378,29.85
